FFT Dimension (GHz),Theta (°),Phi (°),FFT( Gain phi ),FFT( Gain theta )
0,270.000001,0,1.04900673e-05,0.00032467561
0.000370346906,270.000001,0,1.48608942e-05,0.00043918466
0.000740693813,270.000001,0,0.000364390347,0.00999571197
0.00111104075,270.000001,0,-1.25766337e-05,-0.000352118863
0.00148138763,270.000001,0,-4.93303787e-06,-0.00017619117
0.0018517345,270.000001,0,-1.8878161e-06,-0.000133304988
0.0022220815,270.000001,0,-2.39210891e-07,-0.000131561639
0.00259242825,270.000001,0,-8.62694947e-07,-0.000177816371
0.00296277525,270.000001,0,-2.63058155e-05,-0.000649668684
0.003333122,270.000001,0,2.92054046e-05,0.000233641651
0.003703469,270.000001,0,2.40275494e-05,8.98949511e-05
0.00407381575,270.000001,0,2.57978645e-05,5.59399705e-05
0.004444163,270.000001,0,2.936907e-05,4.32967354e-05
0.0048145095,270.000001,0,3.42500207e-05,3.92794173e-05
0.0051848565,270.000001,0,4.08646411e-05,4.07840125e-05
0.0055552035,270.000001,0,5.05611933e-05,4.78496659e-05
0.0059255505,270.000001,0,6.67354107e-05,6.26965339e-05
0.006295897,270.000001,0,9.85883671e-05,9.1699716e-05
0.006666244,270.000001,0,0.000175833353,0.000153290297
0.007036591,270.000001,0,0.000432099565,0.000320184539
0.007406938,270.000001,0,0.00227588695,0.00127971661
0.007777285,270.000001,0,-0.00620016688,-0.00237938552
0.0081476315,270.000001,0,-0.019095052,-0.00462643616
0.008517979,270.000001,0,0.00346805202,0.000514221785
0.008888326,270.000001,0,0.00167351158,0.000165507081
0.009258672,270.000001,0,0.00130542333,0.000113622751
0.009629019,270.000001,0,0.00130963954,0.000137908806
0.009999366,270.000001,0,0.00167859963,0.00024600132
0.010369713,270.000001,0,0.00346503593,0.000702452729
0.01074006,270.000001,0,-0.00880935974,-0.00231223577
0.011110407,270.000001,0,-0.00184591243,-0.000574487494
0.011480754,270.000001,0,-0.00109775574,-0.000366379594
0.011851101,270.000001,0,-0.000875269878,-0.000280084554
0.012221448,270.000001,0,-0.000833621598,-0.000226157732
0.012591794,270.000001,0,-0.000909980037,-0.000182111573
0.012962141,270.000001,0,-0.00111488556,-0.000138394724
0.013332488,270.000001,0,-0.00151936919,-9.03509354e-05
0.013702835,270.000001,0,-0.00230581663,-3.89668785e-05
0.014073182,270.000001,0,-0.0039125504,-8.57931536e-06
0.014443529,270.000001,0,-0.00717003923,-0.000121159675
0.014813876,270.000001,0,-0.0112894466,-0.000667779823
0.015184223,270.000001,0,-0.0102765178,-0.00126621139
0.01555457,270.000001,0,-0.00660241954,-0.00131466647
0.015924917,270.000001,0,-0.00435625901,-0.00118799531
0.016295263,270.000001,0,-0.00327417674,-0.0010731793
0.01666561,270.000001,0,-0.00282254047,-0.000990608823
0.017035958,270.000001,0,-0.00277288305,-0.000933662057
0.017406304,270.000001,0,-0.00310160359,-0.000898673141
0.017776652,270.000001,0,-0.00400242163,-0.000890947471
0.018146998,270.000001,0,-0.00626626005,-0.000948846107
0.018517344,270.000001,0,-0.0145461988,-0.00132516574
0.018887692,270.000001,0,0.114003822,0.00605931412
0.019258038,270.000001,0,0.015720576,0.000702334393
0.019628386,270.000001,0,0.0109681459,0.000746257545
0.019998732,270.000001,0,0.0109430272,0.00131652993
0.02036908,270.000001,0,0.0145308189,0.00280145113
0.020739426,270.000001,0,0.0309922528,0.00841490086
0.021109774,270.000001,0,-0.148909315,-0.0505249836
0.02148012,270.000001,0,-0.0274990462,-0.0104617998
0.021850466,270.000001,0,-0.0207056776,-0.00798323005
0.022220814,270.000001,0,-0.025246691,-0.00895451754
0.02259116,270.000001,0,-0.0761614665,-0.0226087328
0.022961508,270.000001,0,0.0409545787,0.00928617176
0.023331854,270.000001,0,0.015424747,0.00247751293
0.023702202,270.000001,0,0.00996267609,0.00112493429
0.024072548,270.000001,0,0.00799665321,0.000754356559
0.024442896,270.000001,0,0.00739561627,0.000815815176
0.024813242,270.000001,0,0.00769359199,0.00123005209
0.025183588,270.000001,0,0.00897513423,0.00210987846
0.025553936,270.000001,0,0.0118406182,0.00380371162
0.025924282,270.000001,0,0.0179035142,0.00715627195
0.02629463,270.000001,0,0.0306583494,0.0138745466
0.026664976,270.000001,0,0.0499766469,0.0233968273
0.027035324,270.000001,0,0.0497068353,0.0220913477
0.02740567,270.000001,0,0.0316038355,0.0123021966
0.027776018,270.000001,0,0.0197070949,0.00626256876
0.028146364,270.000001,0,0.0138323465,0.0034300047
0.028516712,270.000001,0,0.0109647596,0.0021622919
0.028887058,270.000001,0,0.00968598854,0.00173631147
